Семејство и деца,Издавање извод од матична книга на родени
Семејство и деца,Издавање извод од матична книга на умрени
Семејство и деца,Издавање извод од матична книга на венчани
Семејство и деца,Издавање уверение за слободна брачна состојба
Семејство и деца,Запишување во матична книга на венчани
Семејство и деца,Запишување во матична книга на родени
Семејство и деца,Запишување во матична кинга на умрени
Нега и социјална помош,Издавање на потврда за право на надоместок за помош и нега од друго лице
Нега и социјална помош,Издавање на потврда за право на гарантирана минимална помош
Нега и социјална помош,Издавање на потврда за право на надоместок заради попреченост
Нега и социјална помош,Издавање на потврда за право на траен надоместок
Нега и социјална помош,Издавање на потврда за користење на право на детски додаток
Нега и социјална помош,Издавање на потврда за право на надоместок на плата за скратено работно време
Нега и социјална помош,Издавање на потврда за корисници на право на социјална сигурност за стари лица
Нега и социјална помош,Издавање на потврда за користење на додаток за образование
Нега и социјална помош,Издавање на потврда за користење на право на родителски додаток за дете
Нега и социјална помош,Издавање на потврда за користење на право за посебен додаток
Лични докумнети и исправи,Издавање на лична карта
Лични докумнети и исправи,Издавање на пасош
Лични докумнети и исправи,Издавање на возачка дозвола
Лични докумнети и исправи,Уверение за право на првенство по пријава на трговска марка
Здравство,Одобрение за ставање на лек во промет
Здравство,Потврда за платен придонес
Здравство,Одобрение за производство на лекови
Здравство,Потврда за исплатен надоместок на плата
Здравство,Одобрување на цена на лекови
Здравство,Потврда за статус на осигурано лице
Здравство,Основање приватна здравствена установа
Здравство,Одобрување на ветеринарна болница
Здравство,"Одобрение за вршење дезинфекција, дезинсекција и дератизација"
Транспорт и врски и животна средина,Решение за услови за планирање на просторот
Транспорт и врски и животна средина,Лиценца за изработување на урбанистички планови
Транспорт и врски и животна средина,Одобрение за градење на градби
Транспорт и врски и животна средина,Лиценца за ревизија на урбанистички планови
Транспорт и врски и животна средина,Измени во текот на градбата
Транспорт и врски и животна средина,Промена на инвеститор во текот на градбата
Транспорт и врски и животна средина,Дозвола за увоз на разни производи на хемиската индустрија
Транспорт и врски и животна средина,Дозвола за увоз на употребувани гуми
Транспорт и врски и животна средина,Дозвола за извоз на гмо и гмо производи
Транспорт и врски и животна средина,Регистрација за производство на репродуктивен материјал од шумски видови дрвја
Транспорт и врски и животна средина,"Регистрација на производители, преработувачи, увозници и дистрибутери на растенија, растителни производи и други објекти и предмети"
Транспорт и врски и животна средина,Дозвола за давање јавни услуги од областа на здравјето на растенијата
Транспорт и врски и животна средина,Издавање на одобрение за поставување на пчелни семејства во шума во државна сопственост
Транспорт и врски и животна средина,Издавање на лиценца за вршење на шумскокултурни работи за активностите на сеча и дотур во шумите со стопанска намена во државна сопственост
Транспорт и врски и животна средина,Регистрирање за промет на дрво и дрвни сортименти
Образование и обуки,Дозвола на воздухопловен мет персонал и овластување
Образование и обуки,Продолжување на важноста на дозволата на мет персоналот
Образование и обуки,Доделување на ученички стипендии
Образование и обуки,Доделување на студентски стипендии
Образование и обуки,Доделување на стипендија за академски студии од втор и трет циклус
"Култура, спорт и рекреација",Лиценца за приредување на игри на среќа во казино
"Култура, спорт и рекреација",Дозвола за приредување на наградна игра
"Култура, спорт и рекреација",Дозвола за приредување на интерактивни игри на среќа
"Култура, спорт и рекреација",Решение за почеток со работа на библиотека
"Култура, спорт и рекреација",Дозвола за археолошки истражувања
"Култура, спорт и рекреација",Потврда за објект заштитен како културно наследство
"Култура, спорт и рекреација",Дозвола за извоз на културни добра
Стопанисување,Дозвола за извоз на стоки и технологии со двојна употреба
Стопанисување,"Издавање на лиценца за ноќен бар, кабаре и дискоклуб"
Стопанисување,Регистрацијата на правни лица кои вршат увоз на храна од животинско потекло
Стопанисување,Дозвола за основање друштво за управување со задолжителни и доброволни пензиски фондови
Патување и транспорт,Решение за овластување за техничка служба
Патување и транспорт,Регистрација на употребувано моторно возило набавено во РСМ
Патување и транспорт,Овластување за издавање на потврда за пробно возење и пробни таблици
Патување и транспорт,Регистрација на ново возило
Патување и транспорт,Одјава на возило
Правосудство и човекови права,Издавање на потврда за содржани лични податоци во централниот регистар на население
Правосудство и човекови права,Издавање на листа на логови за спроведен пристап до личните податоци на корисникот
Даноци и јавни давачки,Регистрација за цели на данокот на додадена вредност
Даноци и јавни давачки,Даночно ослободување
Даноци и јавни давачки,Враќање на данок на дивиденда
Даноци и јавни давачки,Потврда за регистриран/нерегистриран ДДВ обврзник
Даноци и јавни давачки,Издавање на легитимација на лиценциран царински застапник
Даноци и јавни давачки,Полагање на стручен испит за лиценциран застапник
Даноци и јавни давачки,Издавање на акцизна дозвола
Работа и вработување,Издавање на потврда за евидентирано невработено лице
Работа и вработување,Издавање на историјат на работни односи
Работа и вработување,Регистрација на самостоен уметник
Работа и вработување,Издавање на потврда за користење на пензија
Работа и вработување,Остварување на право на старосна пензија
Работа и вработување,Оставрување на право на инвалидска пензија
Домување и имот,Одобрение за пренамена на објект
Домување и имот,Одобрение за реконструкција на објект или дел од објект
Домување и имот,Престанок на правото на користење на градежно земјиште
Домување и имот,Извод од катастарски план
Домување и имот,Имотен лист за инфраструктурни објекти
